título,organismo,creado,actualizado,sector,idioma,coberturageográfica,frecuenciadeactualización,urldocumentacion,urlnormativa,descargas,visitas,clasificación,url
Casos confirmados del evento cáncer de mama notificados en Santiago de Cali.,Secretaría de Salud Pública,2021-06-25T15:52:34.884030,2021-12-10T15:28:09.035849,Salud y Protección Social,Español,Municipal/Distrital,Mensual,No aplica,No aplica,31,56,3,http://datos.cali.gov.co/dataset/casos-confirmados-del-evento-cancer-de-mama-notificados-en-santiago-de-cali
Corredores ambientales,Departamento Administrativo de Planeación Municipal,2021-12-10T00:31:30.958751,2021-12-10T00:49:15.204920,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/corredores-ambientales
Población afiliada al sistema general de seguridad social en salud (SGSSS) en santiago de cali.,Secretaría de Salud Pública,2019-05-27T19:14:43.319773,2021-12-09T18:15:01.370137,Salud y Protección Social,Español,Local,Anual,No aplica,No aplica,59,110,4,http://datos.cali.gov.co/dataset/poblacion-afiliada-al-sgsss-en-santiago-de-cali
Puntos de Ventanilla Única de la Alcaldía de Santiago de Cali,Secretaría de Desarrollo Territorial y Participación Ciudadana,2019-06-18T20:42:15.563989,2021-12-07T16:42:29.853188,Participación Ciudadana,Español,Local,Anual,No aplica,No aplica,129,210,4.5,http://datos.cali.gov.co/dataset/puntos-de-ventanilla-unica-de-la-alcaldia-de-santiago-de-cali
Canales de Atención al Ciudadano de Ventanilla Única de Santiago de Cali,Secretaría de Desarrollo Territorial y Participación Ciudadana,2019-08-28T21:37:54.962910,2021-12-07T16:39:52.619203,Participación Ciudadana,Español,Local,Anual,No aplica,No aplica,52,101,2,http://datos.cali.gov.co/dataset/canales-de-atencion-cali
Áreas protegidas,Departamento Administrativo de Planeación Municipal,2021-12-02T19:44:24.960616,2021-12-02T20:07:57.164277,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/areas-protegidas
Nacimientos de agua,Departamento Administrativo de Planeación Municipal,2021-12-02T19:21:15.593748,2021-12-02T19:34:20.222614,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/nacimientos
Análisis de intervenciones de tipo bacheo en Cali,Secretaría de Infraestructura,2018-10-31T13:52:47.262894,2021-12-02T18:10:55.926352,Infraestructura y Catastro,Español,Local,Semestral,No aplica,No aplica,79,147,5,http://datos.cali.gov.co/dataset/analisis-de-intervenciones-de-tipo-bacheo-en-cali
Datos de calidad del aire en la Estación Univalle en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-29T00:53:49.045342,2021-12-02T13:03:02.044308,Ambiente y Desarrollo Sostenible,Español,Local,Anual,No aplica,No aplica,79,195,1,http://datos.cali.gov.co/dataset/datos-de-calidad-del-aire-en-la-estacion-univalle-en-santiago-de-cali
Productos agrícolas producidos en la zona rural de Santiago de Cali 2016 - 2020,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-28T18:58:57.507078,2021-12-02T13:01:53.822247,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,336,1154,5,http://datos.cali.gov.co/dataset/productos-agricolas-producidos-en-zona-rural-de-santiago-de-cali-2016-2020
Consolidado de productos agrícolas por corregimiento de Santiago de Cali 2016 - 2020,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-28T19:10:53.166874,2021-12-02T13:01:16.264730,Agricultura y desarrollo Rural,Español,Local,Anual,No aplica,No aplica,70,155,3,http://datos.cali.gov.co/dataset/consolidado-productos-agricolas-por-corregimiento-de-santiago-de-cali-2016-2020
Datos de calidad del aire en la Estación Pance en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-29T00:57:56.839906,2021-12-02T13:00:18.603026,Ambiente y Desarrollo Sostenible,Español,Local,Anual,No aplica,No aplica,85,182,3.5,http://datos.cali.gov.co/dataset/datos-de-calidad-del-aire-en-estacion-pance-en-santiago-de-cali
Percepción de Atención al Usuario en la Alcaldía de Santiago de Cali,Secretaría de Desarrollo Territorial y Participación Ciudadana,2019-09-05T20:21:33.289409,2021-12-02T12:42:25.197515,Participación Ciudadana,Español,Local,Trimestral,No aplica,No aplica,133,158,3,http://datos.cali.gov.co/dataset/informes-de-percepcion-de-atencion-al-usuario-en-la-alcaldia-de-santiago-de-cali
Reporte calidad del agua 2015 - 2020 en la ciudad de Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-28T19:17:35.420966,2021-12-02T12:41:54.001900,Ambiente y Desarrollo Sostenible,Español,Local,Anual,No aplica,No aplica,105,142,4,http://datos.cali.gov.co/dataset/reporte-calidad-del-agua-2015-2020-en-la-ciudad-de-santiago-de-cali
Mapa de visitas de ruido,Departamento Administrativo de Gestión del Medio Ambiente,2019-03-29T22:27:35.282926,2021-12-02T12:36:35.843537,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,Anual,No aplica,No aplica,93,120,3,http://datos.cali.gov.co/dataset/mapa-de-calor-visitas-de-ruido
Datos de calidad del aire en la Estación Compartir en Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-29T00:51:31.162213,2021-12-02T12:08:01.668704,Ambiente y Desarrollo Sostenible,Español,Local,Anual,No aplica,No aplica,46,141,4,http://datos.cali.gov.co/dataset/datos-de-calidad-del-aire-en-la-estacion-compartir-2014-a-2018-en-santiago-de-cali
Inventario de los humedales urbanos de Santiago de Cali,Departamento Administrativo de Gestión del Medio Ambiente,2019-09-17T21:10:20.935071,2021-12-02T11:50:02.673037,Ambiente y Desarrollo Sostenible,Español,Municipal/Distrital,No aplica,No aplica,No aplica,170,277,5,http://datos.cali.gov.co/dataset/humedales-urbanos
Mapa de ruido entre semana nocturno de Santiago de Cali - 2019,Departamento Administrativo de Gestión del Medio Ambiente,2018-10-28T19:00:54.825395,2021-12-02T11:47:54.373655,Ambiente y Desarrollo Sostenible,Español,Local,Trienio,No aplica,http://www.minambiente.gov.co/images/AsuntosambientalesySectorialyUrbana/pdf/emisiones_atmosfericas_contaminantes/norma_ruido/Resolucion_627_de_2006_-_Norma_nacional_de_emision_de_ruido.pdf,94,165,3.5,http://datos.cali.gov.co/dataset/mapa-de-ruido-semana-nocturno-de-santiago-de-cali-2019
"Procesos de contratación de construcción, mantenimiento de vías y compra de insumos realizados por la Secretaria de Infraestructura desde el año 2018",Secretaría de Infraestructura,2019-03-28T03:54:37.295585,2021-11-30T18:00:25.131831,Infraestructura y Catastro,Español,Local,Semestral,No aplica,No aplica,52,85,3.6700001,http://datos.cali.gov.co/dataset/procesos-de-contratacion-de-obra-realizados-por-la-secretaria-de-infraestructura-desde-el-ano-2018
Líderes y lideresas sociales amenazados atendidos en la ciudad de Santiago de Cali,Secretaría de Paz y Cultura ciudadana,2020-11-24T21:57:02.773197,2021-11-30T17:37:00.510663,Social / Población,Español,Municipal/Distrital,Semestral,No aplica,No aplica,51,93,5,http://datos.cali.gov.co/dataset/lideres-y-lideresas-sociales-amenazados-atendidos-en-la-ciudad-de-santiago-de-cali
Programa TV ‘Magazín Informativo’,Secretaría de Gobierno,2021-11-29T19:31:15.129193,2021-11-29T21:12:00.016003,Educación,Español,Local,Trimestral,No aplica,No aplica,6,7,3,http://datos.cali.gov.co/dataset/programa-magazin-informativo
Población beneficiada por el proyecto de Semilleros de Cultura Ciudadana para la Paz,Secretaría de Paz y Cultura ciudadana,2021-11-29T16:11:31.131057,2021-11-29T16:26:38.795294,Educación,Español,Municipal/Distrital,Semestral,No aplica,No aplica,2,2,5,http://datos.cali.gov.co/dataset/poblacion-beneficiada-por-el-proyecto-de-semilleros-de-cultura-ciudadana-para-la-paz
Estado de solicitudes de mantenimiento vial que han ingresado a la Secretaria de Infraestructura de Cali.,Secretaría de Infraestructura,2019-03-29T23:42:42.002116,2021-11-29T16:21:23.155889,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,48,90,3.6700001,http://datos.cali.gov.co/dataset/estado-de-solicitudes-de-mantenimiento-vial-desde-el-ano-2018
Cantidad de solicitudes de mantenimiento vial recibidas en la Secretaria de Infraestructura de Cali discriminadas por tipo de solicitante,Secretaría de Infraestructura,2019-03-28T04:28:36.514458,2021-11-29T16:03:32.658491,Infraestructura y Catastro,Español,Local,Semestral,No aplica,No aplica,38,86,5,http://datos.cali.gov.co/dataset/cantidad-solicitudes-mantenimiento-en-la-secretaria-de-infraestructura-x-por-tipo-de-solicitante
Consolidado procesos jurídicos atendidos por la Secretaria de Infraestructura de Cali desde el año 2018,Secretaría de Infraestructura,2018-12-13T20:28:56.667487,2021-11-26T18:12:33.937911,Infraestructura y Catastro,Español,Local,Semestral,No aplica,No aplica,47,117,4.6700001,http://datos.cali.gov.co/dataset/consolidado-procesos-juridicos-atendidos-por-la-secretaria-de-infraestructura-de-cali-ano-2018
Cantidad reuniones realizadas por la secretaria de Infraestructura de Cali discriminadas por comuna.,Secretaría de Infraestructura,2019-03-29T20:17:13.459956,2021-11-26T17:54:30.809127,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,40,58,5,http://datos.cali.gov.co/dataset/cantidad-reuniones-realizadas-discriminadas-por-comuna-desde-ano-2018
Cantidad de reuniones realizadas por la secretaria de Infraestructura de Cali clasificadas por corregimientos.,Secretaría de Infraestructura,2019-03-29T20:29:06.854936,2021-11-26T17:43:45.205014,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,20,52,3.6700001,http://datos.cali.gov.co/dataset/cantidad-de-reuniones-realizadas-clasificadas-por-corregimientos-desde-el-ano-2018
Cantidad de solicitudes de mantenimiento vial realizadas a la secretaria de Infraestructura de Cali discriminadas por comuna.,Secretaría de Infraestructura,2019-03-29T23:50:13.200371,2021-11-26T17:34:26.769031,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,42,77,4.3299999,http://datos.cali.gov.co/dataset/cantidad-de-solicitudes-de-mantenimiento-vial-discriminadas-por-comuna-desde-el-2018
Expedientes abiertos por conducta disciplinaria y año en la alcaldía de Santiago de Cali,Departamento Administrativo de Control Disciplinario Interno,2020-11-11T19:03:41.089766,2021-11-26T17:29:55.401717,Organismos de Control,Español,Local,Anual,No aplica,No aplica,16,57,5,http://datos.cali.gov.co/dataset/expedientes-abiertos-por-conducta-disciplinaria-y-ano-en-la-alcaldia-de-santiago-de-cali
Cantidad de solicitudes por corregimiento que han ingresado a la Secretaria de Infraestructura de Cali.,Secretaría de Infraestructura,2019-03-30T00:02:40.629145,2021-11-26T17:18:18.376755,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,34,52,3.6700001,http://datos.cali.gov.co/dataset/cantidad-de-solicitudes-por-corregimiento-desde-el-ano-2018
Recaudo histórico megaobras Cali,Secretaría de Infraestructura,2018-10-31T13:57:43.165529,2021-11-26T16:55:24.222676,Infraestructura y Catastro,Español,Municipal/Distrital,Semestral,No aplica,No aplica,97,180,4.3299999,http://datos.cali.gov.co/dataset/recaudo-historico-megaobras-cali
Programa radial ‘Noticias de puro corazón’,Secretaría de Gobierno,2021-11-25T21:12:10.721331,2021-11-26T15:18:48.048666,Participación Ciudadana,Español,Local,Trimestral,No aplica,No aplica,6,7,3,http://datos.cali.gov.co/dataset/programa-radial-noticias-de-puro-corazon
Estadísticas Twitter de la Alcaldía de Santiago de Cali,Secretaría de Gobierno,2018-10-31T13:42:13.285806,2021-11-25T14:40:19.403537,Participación Ciudadana,Español,Internacional,Trimestral,No aplica,No aplica,50,76,4,http://datos.cali.gov.co/dataset/estadisticas-twitter-alcaldia-de-santiago-de-cali
Estadísticas Instagram de la Alcaldía de Santiago de Cali,Secretaría de Gobierno,2019-10-11T16:19:03.693455,2021-11-25T14:32:35.706037,Social / Población,Español,Internacional,Trimestral,No aplica,No aplica,60,76,5,http://datos.cali.gov.co/dataset/estadisticas-instagram-de-la-alcaldia-de-santiago-de-cali
Estadísticas Facebook de la Alcaldía de Santiago de Cali,Secretaría de Gobierno,2018-10-31T13:39:30.515460,2021-11-25T14:18:01.482175,Participación Ciudadana,Español,Internacional,Trimestral,No aplica,No aplica,84,96,3.5,http://datos.cali.gov.co/dataset/estadisticas-facebook-alcaldia-de-santiago-de-cali
Cobertura de servicios públicos por comuna,Secretaría de Desarrollo Territorial y Participación Ciudadana,2021-11-24T14:16:30.430087,2021-11-24T14:17:50.243061,Estadísticas,Español,Local,Trienio,No aplica,No aplica,9,76,3,http://datos.cali.gov.co/dataset/cobertura-de-servicios-publicos-por-comuna
"Compras realizadas por la Administración Central del Distrito de Santiago de Cali, relacionadas con urgencia manifiesta",Departamento Administrativo de Contratación Pública,2021-08-02T16:05:42.976116,2021-11-19T16:22:40.456168,Agricultura y desarrollo Rural,Español,Local,Mensual,https://colombiacompra.gov.co/secop-ii,No aplica,68,52,5,http://datos.cali.gov.co/dataset/compras-relacionadas-con-urgencia-manifiesta-ori
Plan Anual de Adquisiciones de la Administración Central del Distrito de Santiago de Cali,Departamento Administrativo de Contratación Pública,2019-08-05T20:51:56.055272,2021-11-18T18:31:23.651524,Presupuestos Gubernamentales,Español,Municipal/Distrital,Mensual,http://www.cali.gov.co/contratacion/,No aplica,175,277,4.5,http://datos.cali.gov.co/dataset/plan-anual-de-adquisiciones-cali
Procesos Contractuales realizados por la Administración Central del Distrito de Santiago de Cali,Departamento Administrativo de Contratación Pública,2020-10-07T22:28:57.519234,2021-11-18T16:24:52.906252,Gestión Pública/Administrativa,Español,Municipal/Distrital,Semestral,https://www.colombiacompra.gov.co/secop-ii,No aplica,128,128,4,http://datos.cali.gov.co/dataset/contratacion-administracion-central-del-distrito-de-santiago-de-cali
"Compras de la Administración Central del Distrito de Santiago de Cali, a través de la Tienda Virtual del Estado Colombiano",Departamento Administrativo de Contratación Pública,2020-11-11T20:31:27.439892,2021-11-18T15:25:43.203527,"Económica, Industria y Comercio",Español,Municipal/Distrital,Mensual,https://www.colombiacompra.gov.co/content/tienda-virtual,No aplica,45,76,4,http://datos.cali.gov.co/dataset/compras-del-distrito-santiago-de-cali-a-traves-de-la-tienda-virtual-del-estado-colombiano-2020
Directorio de los centros de administración local integrada (Cali),Secretaría de Desarrollo Territorial y Participación Ciudadana,2018-10-30T20:40:31.022291,2021-11-18T13:56:15.469466,Participación Ciudadana,Español,Municipal/Distrital,Anual,No aplica,No aplica,127,310,3,http://datos.cali.gov.co/dataset/directorio-de-los-centros-de-administracion-local-integrada-cali
Actividades contractuales de la planeación del proyecto Parque Pacífico - Cali 2021,Secretaría de Cultura,2021-10-28T01:29:57.351092,2021-11-16T22:06:52.880299,Cultura,Español,Local,No aplica,"Narrativa: https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2055066&isFromPublicArea=True&isModal=False, Estudios y Diseños:  https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2064304&isFromPublicArea=True&isModal=False , Promoción y difusión: https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2214154&isFromPublicArea=True&isModal=False , Interventoría: https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2114460&isFromPublicArea=True&isModal=False",No aplica,16,39,5,http://datos.cali.gov.co/dataset/parque-pacifico
Registro de activos de información de la Alcaldía de Cali,Departamento Administrativo de Desarrollo e Innovación Institucional,2019-08-29T19:56:51.576271,2021-11-16T19:50:09.298633,Gestión Pública/Administrativa,Español,Municipal/Distrital,Trienio,No aplica,No aplica,45,109,3,http://datos.cali.gov.co/dataset/registro-de-activos-de-informacion-de-la-alcaldia-de-cali
Casos positivos confirmados por COVID-19 en Santiago de Cali,Secretaría de Salud Pública,2020-09-29T20:09:32.726640,2021-11-16T14:26:16.983389,Salud y Protección Social,Español,Local,Mensual,No aplica,No aplica,244,628,3.5,http://datos.cali.gov.co/dataset/casos-positivos-confirmados-por-covid-19-en-santiago-de-cali
Resultados para llevar a cabo el ejercicio de presupuesto participativo en las comunas,Secretaría de Desarrollo Territorial y Participación Ciudadana,2021-11-16T13:34:00.641505,2021-11-16T13:35:49.625158,Gestión Pública/Administrativa,Español,Local,Anual,No aplica,No aplica,10,72,5,http://datos.cali.gov.co/dataset/resultados-para-llevar-a-cabo-el-ejercicio-de-presupuesto-participativo-en-las-comunas
Área de protección forestal de recursos hídricos,Departamento Administrativo de Planeación Municipal,2021-11-15T23:09:17.983598,2021-11-15T23:27:54.297242,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/area-de-proteccion-forestal-de-recursos-hidricos
Zona amortiguadora del Parque Nacional Natural Farallones,Departamento Administrativo de Planeación Municipal,2021-11-15T21:59:50.227836,2021-11-15T22:59:57.949140,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,4,http://datos.cali.gov.co/dataset/zona-amortiguadora-del-parque-nacional-natural-farallones
Reservas naturales,Departamento Administrativo de Planeación Municipal,2021-11-15T21:30:17.488950,2021-11-15T22:54:54.856045,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/reservas-naturales
Estados Financieros de la Alcaldía de Santiago de Cali,Departamento Administrativo de Hacienda Municipal,2020-08-26T21:02:20.763172,2021-11-12T00:03:16.689651,Hacienda y Crédito Público,Español,Local,No aplica,No aplica,No aplica,53,76,4,http://datos.cali.gov.co/dataset/estados-financieros-de-la-alcaldia-de-santiago-de-cali
Diplomado Audiovisual,Unidad Administrativa Especial Estudio de Grabación Takeshima,2020-12-28T15:28:23.229305,2021-11-10T21:52:58.604999,Cultura,Español,Municipal/Distrital,Anual,No aplica,No aplica,30,44,2,http://datos.cali.gov.co/dataset/diplomado-audiovisual
Inscritos al Concurso Metrópolis en Cali,Unidad Administrativa Especial Estudio de Grabación Takeshima,2020-12-28T15:34:24.291248,2021-11-10T21:41:53.479211,Cultura,Español,Local,Anual,No aplica,No aplica,23,37,3,http://datos.cali.gov.co/dataset/concurso-metropolis
Inscritos al Festival audiovisual en Cali,Unidad Administrativa Especial Estudio de Grabación Takeshima,2020-12-28T14:40:06.933373,2021-11-10T21:37:14.992790,Cultura,Español,Local,Anual,No aplica,No aplica,16,30,1,http://datos.cali.gov.co/dataset/festival_audiovisual_estudios_takeshima
Atenciones de beneficiarios de primera infancia por comunas 2020,Secretaría de Bienestar Social,2021-11-09T14:57:34.566288,2021-11-09T15:00:05.786702,Social / Población,Español,Local,Anual,No aplica,No aplica,3,33,4,http://datos.cali.gov.co/dataset/atenciones-de-beneficiarios-de-primera-infancia-por-comunas-2020
Protección ambiental del río Cauca,Departamento Administrativo de Planeación Municipal,2021-09-20T17:05:04.289794,2021-11-02T22:30:42.273743,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,2,http://datos.cali.gov.co/dataset/proteccion-ambiental-del-rio-cauca
Curvas de nivel de protección en cimas,Departamento Administrativo de Planeación Municipal,2021-09-22T16:51:04.221401,2021-11-02T22:26:18.267061,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/curvas-de-nivel-de-proteccion-en-cimas
Áreas de protección forestal AF,Departamento Administrativo de Planeación Municipal,2021-09-22T20:33:35.943588,2021-11-02T22:20:41.214686,Ordenamiento Territorial,Español,Municipal/Distrital,No aplica,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,4,http://datos.cali.gov.co/dataset/areas-de-proteccion-forestal-af
"Alturas, Colinas y Cerros de Santiago de Cali",Departamento Administrativo de Planeación Municipal,2021-10-20T16:26:13.792236,2021-11-02T22:19:30.679622,Ordenamiento Territorial,Español,Municipal/Distrital,Diaria,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/alturas-colinas-y-cerros-de-santiago-de-cali
Ecoparques de Santiago de Cali,Departamento Administrativo de Planeación Municipal,2021-09-22T20:51:16.681467,2021-11-02T22:15:07.793886,Ordenamiento Territorial,Español,Municipal/Distrital,Diaria,https://www.cali.gov.co/planeacion/publicaciones/46691/servicios_wms_idesc/,https://www.cali.gov.co/planeacion/publicaciones/106497/pot_2014_idesc/,0,0,0,http://datos.cali.gov.co/dataset/ecoparques
